model,score,free-0shot,free-1shot,free-2shot,free-3shot,free-4shot,multi-0shot,multi-1shot,multi-2shot,multi-3shot,multi-4shot
gpt4,0.6304570350991271,0.5051931565034457,0.6272116440992214,0.6753696451590082,0.6861244013457889,0.710234078091221,0.6231494728731667,0.7041617582501042,0.7181158658608878,0.7324428742682257,0.739957116296402
chatgpt,0.5812671747722895,0.43136043185938144,0.5842372260675832,0.6185609038892743,0.6439740854703412,0.6616275308044312,0.6066751113861076,0.6350939040357199,0.6684722519543949,0.6959456364130734,0.6661553541487751
chatglm_6b,0.47738158557111326,0.41889583161496635,0.5030107089455829,0.47759512313083746,0.48587183175692494,0.48672203185013746,0.5374210476731485,0.4925884631241774,0.4756143398655009,0.4760878652160164,0.453166523399671
bloomz_7b,0.4414142089914668,0.46902045546913246,0.5328335520299806,0.5106431496090086,0.5090090468892534,0.4925548276684269,0.5067579087564413,0.2924788595094575,0.2792353221312849,0.25273131184632086,0.23371439193392973
vicuna_13b,0.3982888531124886,0.25499944279024334,0.4884546818052457,0.476366857931984,0.49491859218128015,0.3982025769734254,0.446988003347312,0.4173250607751382,0.4148011083804151,0.3503226224930532,0.2160533911591092
