model,score,free-0shot,free-1shot,free-2shot,free-3shot,free-4shot,multi-0shot,multi-1shot,multi-2shot,multi-3shot,multi-4shot
gpt4,0.6517857313156128,0.5517857074737549,0.6482142806053162,0.6910714507102966,0.6982142925262451,0.7196428775787354,0.6392857432365417,0.7124999761581421,0.7250000238418579,0.737500011920929,0.7446428537368774
chatgpt,0.5950892865657806,0.4660714268684387,0.6000000238418579,0.6285714507102966,0.6482142806053162,0.6696428656578064,0.6160714030265808,0.6446428298950195,0.6696428656578064,0.7035714387893677,0.6714285612106323
chatglm_6b,0.49196428805589676,0.41428571939468384,0.5178571343421936,0.5,0.5035714507102966,0.5053571462631226,0.5571428537368774,0.5053571462631226,0.49642857909202576,0.49464285373687744,0.4732142984867096
bloomz_7b,0.46741071343421936,0.4982142746448517,0.5482142567634583,0.5267857313156128,0.5249999761581421,0.512499988079071,0.5339285731315613,0.3196428716182709,0.3107142746448517,0.27321428060531616,0.2660714387893677
vicuna_13b,0.42276785522699356,0.28214284777641296,0.5035714507102966,0.49642857909202576,0.5178571343421936,0.3589285612106323,0.47857141494750977,0.4482142925262451,0.43392857909202576,0.3571428656578064,0.19464285671710968
